kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,goldfish,0,0,34.994293212890625,34.994293212890625,0.3397398591041565,0.30007630586624146
dual,goldfish,0,1,31.807056427001953,31.807056427001953,0.3474521338939667,0.2984474003314972
dual,goldfish,0,2,31.575763702392578,31.57576560974121,0.3573783338069916,0.2971110939979553
dual,goldfish,0,3,32.29624938964844,32.2962532043457,0.3701843321323395,0.29990634322166443
dual,goldfish,0,4,34.994293212890625,34.994293212890625,0.3397398591041565,0.30007630586624146
dual,goldfish,0,5,31.807056427001953,31.807056427001953,0.3474521338939667,0.2984474003314972
dual,goldfish,0,6,31.575763702392578,31.57576560974121,0.3573783338069916,0.2971110939979553
dual,goldfish,0,7,32.29624938964844,32.2962532043457,0.3701843321323395,0.29990634322166443
dual,goldfish,0,8,34.994293212890625,34.994293212890625,0.3397398591041565,0.30007630586624146
dual,goldfish,0,9,31.807056427001953,31.807056427001953,0.3474521338939667,0.2984474003314972
dual,goldfish,0,10,31.575763702392578,31.57576560974121,0.3573783338069916,0.2971110939979553
dual,goldfish,0,11,32.29624938964844,32.2962532043457,0.3701843321323395,0.29990634322166443
dual,goldfish,0,12,34.994293212890625,34.994293212890625,0.3397398591041565,0.30007630586624146
dual,goldfish,0,13,31.807056427001953,31.807056427001953,0.3474521338939667,0.2984474003314972
dual,goldfish,0,14,31.575763702392578,31.57576560974121,0.3573783338069916,0.2971110939979553
dual,goldfish,0,15,32.29624938964844,32.2962532043457,0.3701843321323395,0.29990634322166443
dual,goldfish,0,16,34.994293212890625,34.994293212890625,0.3397398591041565,0.30007630586624146
dual,goldfish,0,17,31.807056427001953,31.807056427001953,0.3474521338939667,0.2984474003314972
dual,goldfish,0,18,31.575763702392578,31.57576560974121,0.3573783338069916,0.2971110939979553
dual,goldfish,0,19,32.29624938964844,32.2962532043457,0.3701843321323395,0.29990634322166443
dual,goldfish,1,0,35.602874755859375,35.602882385253906,0.32694634795188904,0.28694793581962585
dual,goldfish,1,1,31.714879989624023,31.71488380432129,0.33637720346450806,0.28008028864860535
dual,goldfish,1,2,31.004735946655273,31.00473976135254,0.34711018204689026,0.27146241068840027
dual,goldfish,1,3,31.17584800720215,31.17584800720215,0.3592316210269928,0.26150354743003845
