kind,label,block_index,measurement_index,coeff_norm_mean,proj_norm_mean,relative_proj_mean,max_coeff_mean
dual,Van Gogh,0,0,47.42488479614258,47.42488479614258,0.43720221519470215,0.36630237102508545
dual,Van Gogh,0,1,43.08733367919922,43.08733367919922,0.4393077790737152,0.3604395389556885
dual,Van Gogh,0,2,42.4145393371582,42.4145393371582,0.44654470682144165,0.3602215349674225
dual,Van Gogh,0,3,42.70055389404297,42.70055389404297,0.45450714230537415,0.3598420321941376
dual,Van Gogh,0,4,47.42488479614258,47.42488479614258,0.43720221519470215,0.36630237102508545
dual,Van Gogh,0,5,43.08733367919922,43.08733367919922,0.4393077790737152,0.3604395389556885
dual,Van Gogh,0,6,42.4145393371582,42.4145393371582,0.44654470682144165,0.3602215349674225
dual,Van Gogh,0,7,42.70055389404297,42.70055389404297,0.45450714230537415,0.3598420321941376
dual,Van Gogh,0,8,47.42488479614258,47.42488479614258,0.43720221519470215,0.36630237102508545
dual,Van Gogh,0,9,43.08733367919922,43.08733367919922,0.4393077790737152,0.3604395389556885
dual,Van Gogh,0,10,42.4145393371582,42.4145393371582,0.44654470682144165,0.3602215349674225
dual,Van Gogh,0,11,42.70055389404297,42.70055389404297,0.45450714230537415,0.3598420321941376
dual,Van Gogh,0,12,47.42488479614258,47.42488479614258,0.43720221519470215,0.36630237102508545
dual,Van Gogh,0,13,43.08733367919922,43.08733367919922,0.4393077790737152,0.3604395389556885
dual,Van Gogh,0,14,42.4145393371582,42.4145393371582,0.44654470682144165,0.3602215349674225
dual,Van Gogh,0,15,42.70055389404297,42.70055389404297,0.45450714230537415,0.3598420321941376
dual,Van Gogh,0,16,47.42488479614258,47.42488479614258,0.43720221519470215,0.36630237102508545
dual,Van Gogh,0,17,43.08733367919922,43.08733367919922,0.4393077790737152,0.3604395389556885
dual,Van Gogh,0,18,42.4145393371582,42.4145393371582,0.44654470682144165,0.3602215349674225
dual,Van Gogh,0,19,42.70055389404297,42.70055389404297,0.45450714230537415,0.3598420321941376
dual,Van Gogh,1,0,48.01777648925781,48.01778030395508,0.42855677008628845,0.3585273325443268
dual,Van Gogh,1,1,41.33576202392578,41.33576202392578,0.41816917061805725,0.318027138710022
dual,Van Gogh,1,2,39.33795166015625,39.33795166015625,0.4224729537963867,0.3077932894229889
dual,Van Gogh,1,3,40.08339309692383,40.08339309692383,0.4464842975139618,0.3209972381591797
dual,Van Gogh,1,4,47.80913162231445,47.80913162231445,0.4278701841831207,0.3576790392398834
dual,Van Gogh,1,5,41.16138458251953,41.16138458251953,0.4174616038799286,0.31707000732421875
dual,Van Gogh,1,6,39.20192337036133,39.20192337036133,0.42137372493743896,0.3067394495010376
dual,Van Gogh,1,7,39.98895263671875,39.98895263671875,0.44517937302589417,0.3196331262588501
dual,Van Gogh,1,8,48.10542678833008,48.10542678833008,0.429490864276886,0.35864415764808655
dual,Van Gogh,1,9,41.29787063598633,41.29787063598633,0.41829344630241394,0.318036288022995
dual,Van Gogh,1,10,39.11079788208008,39.11079788208008,0.4204632341861725,0.30646705627441406
dual,Van Gogh,1,11,39.7157096862793,39.71571350097656,0.4428862929344177,0.31744009256362915
dual,Van Gogh,1,12,47.98289108276367,47.98289108276367,0.42832958698272705,0.3582879602909088
dual,Van Gogh,1,13,41.389957427978516,41.38995361328125,0.418447345495224,0.31835025548934937
dual,Van Gogh,1,14,39.46503448486328,39.46503448486328,0.4234914779663086,0.3091394901275635
dual,Van Gogh,1,15,40.19579315185547,40.19579315185547,0.44750547409057617,0.3218863308429718
dual,Van Gogh,1,16,48.053184509277344,48.05318832397461,0.42917734384536743,0.3584521412849426
dual,Van Gogh,1,17,41.12919998168945,41.12919998168945,0.4173767864704132,0.3173495829105377
dual,Van Gogh,1,18,39.0734977722168,39.0734977722168,0.4204045534133911,0.3066632151603699
dual,Van Gogh,1,19,39.85335159301758,39.85335159301758,0.4440819323062897,0.31838294863700867
dual,Van Gogh,2,0,32.14801788330078,32.14802169799805,0.36867180466651917,0.2833685278892517
dual,Van Gogh,2,1,28.92239761352539,28.92239761352539,0.4394180476665497,0.29095494747161865
dual,Van Gogh,2,2,27.567289352416992,27.567289352416992,0.45063841342926025,0.2948613166809082
dual,Van Gogh,2,3,29.28597068786621,29.28597068786621,0.4894997179508209,0.30900031328201294
dual,Van Gogh,2,4,31.712732315063477,31.712732315063477,0.3653170168399811,0.2817063331604004
dual,Van Gogh,2,5,28.70433235168457,28.70433235168457,0.43522438406944275,0.2921833097934723
dual,Van Gogh,2,6,27.106182098388672,27.106182098388672,0.44192251563072205,0.2937350869178772
dual,Van Gogh,2,7,28.620378494262695,28.620378494262695,0.4742635190486908,0.30473852157592773
dual,Van Gogh,2,8,33.2860221862793,33.2860221862793,0.3787654936313629,0.2913103699684143
dual,Van Gogh,2,9,27.891244888305664,27.891244888305664,0.42107081413269043,0.2855719029903412
dual,Van Gogh,2,10,25.98721694946289,25.987220764160156,0.4232213795185089,0.27730754017829895
dual,Van Gogh,2,11,27.140472412109375,27.140472412109375,0.45592308044433594,0.28595584630966187
dual,Van Gogh,2,12,32.01521301269531,32.01521682739258,0.3707257807254791,0.2807789444923401
dual,Van Gogh,2,13,30.82068634033203,30.82068634033203,0.46399736404418945,0.31073203682899475
dual,Van Gogh,2,14,29.44010353088379,29.44010353088379,0.4757159650325775,0.3123933970928192
dual,Van Gogh,2,15,31.53499412536621,31.53499412536621,0.5177367329597473,0.32646819949150085
dual,Van Gogh,2,16,33.03578567504883,33.03578567504883,0.3811770975589752,0.28340694308280945
dual,Van Gogh,2,17,28.10010528564453,28.10010528564453,0.4258318543434143,0.2882624864578247
dual,Van Gogh,2,18,26.082901000976562,26.082901000976562,0.4258127510547638,0.2848970592021942
dual,Van Gogh,2,19,27.27532386779785,27.27532386779785,0.4577144980430603,0.29346346855163574
dual,Van Gogh,3,0,42.709720611572266,42.709716796875,0.39026355743408203,0.3525887727737427
dual,Van Gogh,3,1,35.01156234741211,35.01156234741211,0.40751320123672485,0.314418226480484
dual,Van Gogh,3,2,31.91510772705078,31.915109634399414,0.41242071986198425,0.30023902654647827
dual,Van Gogh,3,3,31.57888412475586,31.57888412475586,0.4407307803630829,0.28400665521621704
dual,Van Gogh,3,4,41.47113037109375,41.47113037109375,0.38444244861602783,0.35017645359039307
dual,Van Gogh,3,5,35.00980758666992,35.00980758666992,0.4104856848716736,0.3199310302734375
dual,Van Gogh,3,6,31.91531753540039,31.915321350097656,0.41518113017082214,0.30452460050582886
dual,Van Gogh,3,7,31.57816505432129,31.578168869018555,0.44296446442604065,0.2887793779373169
dual,Van Gogh,3,8,42.0960578918457,42.09605407714844,0.38842111825942993,0.3465937674045563
dual,Van Gogh,3,9,33.81521987915039,33.81521987915039,0.3908429741859436,0.3127180337905884
dual,Van Gogh,3,10,29.48153305053711,29.48153305053711,0.3776973783969879,0.2908729612827301
dual,Van Gogh,3,11,28.27456283569336,28.27456283569336,0.39119377732276917,0.26990705728530884
